N_Event,N_Event_encoder
Ai Group,0
Balance of,1
Building Permits,2
Consumer Inflation,3
Employment Change,4
Export Prices,5
Full Time,6
HIA New,7
Home Loans,8
Import Prices,9
Inflation Rate,10
Investment Lending,11
Markit Composite,12
Markit Manufacturing,13
Markit Services,14
NAB Business,15
PPI QoQ,16
PPI YoY,17
Part Time,18
Participation Rate,19
Private Sector,20
RBA Gov,21
RBA Interest,22
RBA Trimmed,23
RBA Weighted,24
Retail Sales,25
TD-MI Inflation,26
Unemployment Rate,27
Westpac Consumer,28
Westpac Leading,29
