N_Event,N_Event_encoder
Average Earnings,0
Balance of,1
BoE Consumer,2
BoE Interest,3
BoE MPC,4
BoE Quantitative,5
Business Investment,6
CBI Business,7
CBI Distributive,8
CBI Industrial,9
Car Production,10
Claimant Count,11
Construction Orders,12
Construction Output,13
Construction PMI,14
Core Inflation,15
Employment Change,16
GDP 3-Month,17
GDP Growth,18
GDP MoM,19
GDP YoY,20
Gfk Consumer,21
Goods Trade,22
Halifax House,23
Industrial Production,24
Inflation Rate,25
Labour Productivity,26
Manufacturing Production,27
Markit/CIPS Composite,28
Markit/CIPS Manufacturing,29
Markit/CIPS UK,30
Mortgage Approvals,31
Mortgage Lending,32
NIESR Monthly,33
Nationwide Housing,34
Net Lending,35
New Car,36
PPI Core,37
PPI Input,38
PPI Output,39
Public Sector,40
Retail Price,41
Retail Sales,42
Unemployment Rate,43
