N_Event,N_Event_encoder
Average Cash,0
Balance of,1
Bank Lending,2
BoJ Interest,3
Capacity Utilization,4
Coincident Index,5
Construction Orders,6
Consumer Confidence,7
Core Inflation,8
Current Account,9
Eco Watchers,10
Exports YoY,11
GDP Capital,12
GDP External,13
GDP Growth,14
GDP Private,15
Household Spending,16
Housing Starts,17
Imports YoY,18
Industrial Production,19
Inflation Rate,20
Jibun Bank,21
Jobs/applications ratio,22
Leading Economic,23
Machine Tool,24
Machinery Orders,25
PPI MoM,26
PPI YoY,27
Retail Sales,28
Reuters Tankan,29
Tertiary Industry,30
Tokyo CPI,31
Tokyo Core,32
Unemployment Rate,33
