N_Event,N_Event_encoder
ADP Employment,0
API Crude,1
Average Hourly,2
Average Weekly,3
Balance of,4
Building Permits,5
Business Inventories,6
CB Consumer,7
CB Leading,8
Capacity Utilization,9
Challenger Job,10
Chicago Fed,11
Chicago PMI,12
Construction Spending,13
Consumer Credit,14
Consumer Inflation,15
Continuing Jobless,16
Core Inflation,17
Core PCE,18
Core PPI,19
Current Account,20
Dallas Fed,21
Durable Goods,22
EIA Crude,23
EIA Distillate,24
EIA Gasoline,25
EIA Natural,26
Employment Cost,27
Existing Home,28
Export Prices,29
Exports ,30
Factory Orders,31
Fed Interest,32
GDP Growth,33
GDP Price,34
Goods Trade,35
Government Payrolls,36
House Price,37
Housing Starts,38
IBD/TIPP Economic,39
ISM Manufacturing,40
ISM New,41
ISM Non-Manufacturing,42
Import Prices,43
Imports ,44
Industrial Production,45
Inflation Rate,46
Initial Jobless,47
JOLTs Job,48
Jobless Claims,49
Kansas Fed,50
Manufacturing Payrolls,51
Manufacturing Production,52
Markit Composite,53
Markit Manufacturing,54
Markit Services,55
Michigan 5,56
Michigan Consumer,57
Michigan Current,58
Michigan Inflation,59
Monthly Budget,60
NAHB Housing,61
NFIB Business,62
NY Empire,63
New Home,64
Non Farm,65
Nonfarm Payrolls,66
Nonfarm Productivity,67
PCE Price,68
PCE Prices,69
PPI MoM,70
PPI YoY,71
Participation Rate,72
Pending Home,73
Personal Income,74
Personal Spending,75
Philadelphia Fed,76
Retail Sales,77
Richmond Fed,78
S&P/Case-Shiller Home,79
Unemployment Rate,80
Unit Labour,81
Wholesale Inventories,82
