time,open,high,low,close,volume,gk_volatility,RSI,ATR,MACD_Line,MACD_Signal,MA_5,MA_20,MA_50,MA_200,MA_400,EMA_5,EMA_8,EMA_13,Bollinger_High,Bollinger_Low,Fibonacci_max,Fibonacci_0.382,Fibonacci_0.618,Fibonacci_0.786,Fibonacci_0.886,Fibonacci_low,Pivot,Support1,Resistance1,Support2,Resistance2,Prev_Pivot,Prev_Support1,Prev_Resistance1,Prev_Support2,Prev_Resistance2,%K,%D,SAR,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span,return,log_return,lag1_close,lag2_close,rolling_mean_5,rolling_std_5,SMA_10,Volatility,Dollar_Volume,Year,Month,Day,Hour,open_macd_diff,rsi_open_ratio,open_close_ratio_ma5,macd_cross,bullish_candle_freq,previous_open,previous_open2,previous_high,previous_high2,previous_low,previous_low2,previous_bullish_candle_freq,signal,Trading_Signal,Pip_Value,previous_pip_value,previous_volume
2020-05-12,1005.7,1009.4,1005.4,1008.4,3674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.4,1008.4,1008.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1007.7333333333332,1006.0666666666665,1010.0666666666665,1003.7333333333332,1011.7333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.4,0.0,0.0,0.0,0.0,1026.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3704861.6,2020,5,12,0,1005.7,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Buy,0.009916699722332408,0.0,0.0
2020-05-13,1008.3,1009.0,1006.1,1006.2,5403,0.0,0.0,0.0,-0.17549857549852277,-0.035099715099704554,0.0,0.0,0.0,0.0,0.0,1007.6666666666667,1007.9111111111112,1008.0857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1007.1,1005.2,1008.1,1004.2,1010.0,1007.7333333333332,1006.0666666666665,1010.0666666666665,1003.7333333333332,1011.7333333333332,0.0,0.0,1009.4,0.0,0.0,0.0,0.0,1025.9,-0.002181673938913109,-0.0021840572565465714,1008.4,0.0,0.0,0.0,0.0,0.0,5436498.600000001,2020,5,13,0,1008.4754985754985,0.0,0.0,0,0.0,1005.7,0.0,1009.4,0.0,1005.4,0.0,0.0,-1,Sell,0.009938382031405287,0.009916699722332408,3674.0
2020-05-14,1006.4,1007.2,1004.5,1005.3,4360,0.0024951905492674835,0.0,0.0,-0.382792347464715,-0.10463824157270665,0.0,0.0,0.0,0.0,0.0,1006.877777777778,1007.3308641975309,1007.6877551020409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005.6666666666666,1004.1333333333332,1006.8333333333333,1002.9666666666666,1008.3666666666667,1007.1,1005.2,1008.1,1004.2,1010.0,0.0,0.0,1009.334,0.0,0.0,0.0,0.0,1025.5,-0.0008944543828265372,-0.0008948546458438218,1006.2,1008.4,0.0,0.0,0.0,0.0,4383108.0,2020,5,14,0,1006.7827923474647,0.0,0.0,0,0.0,1008.3,1005.7,1009.0,1009.4,1006.1,1005.4,0.0,-1,Sell,0.009947279419078883,0.009938382031405287,5403.0
2020-05-15,1005.4,1010.3,1005.2,1009.7,4007,0.003914320584277202,0.0,0.0,-0.1898425409142419,-0.12167910144101371,0.0,0.0,0.0,0.0,0.0,1007.8185185185187,1007.8573388203018,1007.9752186588922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.4,1006.5,1011.5999999999999,1003.3000000000001,1013.4999999999999,1005.6666666666666,1004.1333333333332,1006.8333333333333,1002.9666666666666,1008.3666666666667,0.0,0.0,1004.5,0.0,0.0,0.0,0.0,1031.6,0.004376802944394909,0.0043672525989011494,1005.3,1006.2,0.0,0.0,0.0,0.0,4045867.9000000004,2020,5,15,0,1005.5898425409142,0.0,0.0,0,0.0,1006.4,1008.3,1007.2,1009.0,1004.5,1006.1,0.0,1,Buy,0.009903931860948796,0.009947279419078883,4360.0
2020-05-18,1010.0,1015.8,1007.2,1014.1,4533,0.006421637438681555,0.0,0.0,0.31448955870109785,-0.03444536941259141,1008.74,0.0,0.0,0.0,0.0,1009.9123456790124,1009.2445968602349,1008.8501874219078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1012.3666666666667,1008.9333333333334,1017.5333333333333,1003.7666666666668,1020.9666666666666,1008.4,1006.5,1011.5999999999999,1003.3000000000001,1013.4999999999999,0.0,0.0,1004.616,0.0,0.0,0.0,0.0,1031.0,0.004357730018817341,0.004348262607675175,1009.7,1005.3,1008.74,3.4659774955992018,0.0,0.0,4596915.3,2020,5,18,0,1009.6855104412989,0.0,0.9984404135099723,1,0.0,1005.4,1006.4,1010.3,1007.2,1005.2,1004.5,0.0,1,Buy,0.009860960457548565,0.009903931860948796,4007.0
2020-05-19,1014.2,1018.3,1013.7,1014.2,5512,0.006173536562399902,0.0,0.0,0.714014826961602,0.11524666986224727,1009.9,0.0,0.0,0.0,0.0,1011.3415637860085,1010.3457975579604,1009.6144463616353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1015.4,1012.5,1017.0999999999999,1010.8000000000001,1019.9999999999999,1012.3666666666667,1008.9333333333334,1017.5333333333333,1003.7666666666668,1020.9666666666666,0.0,0.0,1005.06336,0.0,0.0,0.0,0.0,1031.9,9.860960457541701e-05,9.860474296795791e-05,1014.1,1009.7,1009.9,4.21366823563508,0.0,0.0,5590270.4,2020,5,19,0,1013.4859851730384,0.0,0.998975915294978,1,0.0,1010.0,1005.4,1015.8,1010.3,1007.2,1005.2,0.0,0,Hold,0.009859988168014198,0.009860960457548565,4533.0
2020-05-20,1014.6,1018.3,1014.0,1017.0,4602,0.004241439860958014,0.0,0.0,1.2422581017871153,0.3406489562472209,1012.0600000000001,0.0,0.0,0.0,0.0,1013.2277091906724,1011.824509211747,1010.6695254528304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.4333333333334,1014.5666666666668,1018.8666666666668,1012.1333333333334,1020.7333333333333,1015.4,1012.5,1017.0999999999999,1010.8000000000001,1019.9999999999999,0.0,0.0,1005.8575584,0.0,0.0,0.0,0.0,1028.8,0.002760796687043987,0.002756992687641275,1014.2,1014.1,1012.0600000000001,4.593800169794051,0.0,0.0,4680234.0,2020,5,20,0,1013.3577418982129,0.0,0.9980865268484791,1,0.0,1014.2,1010.0,1018.3,1015.8,1013.7,1007.2,0.0,1,Buy,0.009832841691248772,0.009859988168014198,5512.0
2020-05-21,1017.1,1020.4,1015.7,1016.2,5115,0.004132551244276768,0.0,0.0,1.5781494640945084,0.5881490578166784,1014.24,0.0,0.0,0.0,0.0,1014.2184727937816,1012.7968404980254,1011.4595932452833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1017.4333333333334,1014.4666666666668,1019.1666666666667,1012.7333333333335,1022.1333333333333,1016.4333333333334,1014.5666666666668,1018.8666666666668,1012.1333333333334,1020.7333333333333,0.0,0.0,1006.852953728,0.0,0.0,0.0,0.0,1031.8,-0.0007866273352998832,-0.0007869368889284135,1017.0,1014.2,1014.24,2.832490070591471,0.0,0.0,5197863.0,2020,5,21,0,1015.5218505359055,0.0,0.9980448171873842,1,0.0,1014.6,1014.2,1018.3,1018.3,1014.0,1013.7,0.0,-1,Sell,0.0098405825624877,0.009832841691248772,4602.0
2020-05-22,1016.3,1016.6,1012.1,1013.8,4083,0.004191346916428274,0.0,0.0,1.6318746116106695,0.7968941685754767,1015.0600000000001,0.0,0.0,0.0,0.0,1014.0789818625211,1013.0197648317976,1011.7939370673857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1014.1666666666666,1011.7333333333332,1016.2333333333332,1009.6666666666666,1018.6666666666666,1017.4333333333334,1014.4666666666668,1019.1666666666667,1012.7333333333335,1022.1333333333333,0.0,0.0,1008.2076583552,1012.45,0.0,0.0,0.0,1034.3,-0.002361739814997099,-0.0023645331213825857,1016.2,1017.0,1015.0600000000001,1.4415269681831067,0.0,0.0,4139345.4,2020,5,22,0,1014.6681253883893,0.0,0.9993897492512767,1,0.0,1017.1,1014.6,1020.4,1018.3,1015.7,1014.0,0.0,-1,Sell,0.009863878477017165,0.0098405825624877,5115.0
2020-05-25,1013.2,1014.5,1011.7,1013.5,3335,0.003485503100054272,0.0,0.0,1.6314384780508817,0.9638030304705577,1014.9399999999999,0.0,0.0,0.0,0.0,1013.8859879083475,1013.1264837580648,1012.0376603434736,1020.1105367285188,1003.569463271481,0.0,0.0,0.0,0.0,0.0,0.0,1013.2333333333332,1011.9666666666665,1014.7666666666664,1010.4333333333333,1016.0333333333332,1014.1666666666666,1011.7333333333332,1016.2333333333332,1009.6666666666666,1018.6666666666666,0.0,0.0,1009.670739352576,1012.45,0.0,0.0,0.0,1030.9,-0.000295916354310477,-0.0002959601461942207,1013.8,1016.2,1014.9399999999999,1.5614096195422924,1011.8399999999999,4.135268364259424,3380022.5,2020,5,25,0,1011.5685615219492,0.0,1.000139147219452,1,5.0,1016.3,1017.1,1016.6,1020.4,1012.1,1015.7,0.0,1,Buy,0.009866798223976321,0.009863878477017165,4083.0
